               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1067,             0.06139,                   0,           0.0029333,             0.22222,           0.0020838,          0.00032739,             0.09499,            0.049843,                   0,              0.0955,              0.0005,              0.0005
                   1,            0.096676,            0.072523,                   0,           0.0074667,             0.56566,           0.0059629,           0.0015382,            0.082579,            0.058395,                   0,            0.090095,           0.0010946,           0.0010946
                   2,            0.091428,            0.080501,                   0,           0.0074667,             0.56566,           0.0058733,            0.001438,             0.07693,            0.061211,                   0,            0.084683,           0.0016832,           0.0016832
                   3,            0.086527,            0.075606,                   0,           0.0073333,             0.55556,           0.0058778,           0.0014252,            0.074371,             0.06292,                   0,            0.079266,           0.0022658,           0.0022658
                   4,            0.086906,            0.077657,                   0,              0.0076,             0.57576,           0.0062049,            0.001533,            0.074145,            0.062592,                   0,            0.073843,           0.0028426,           0.0028426
                   5,            0.084654,            0.081452,                   0,              0.0076,             0.57576,            0.006233,           0.0015466,            0.074368,            0.061806,                   0,            0.068413,           0.0034134,           0.0034134
                   6,            0.084078,            0.077615,                   0,           0.0074667,             0.56566,           0.0060285,           0.0015058,            0.074297,            0.061752,                   0,            0.062978,           0.0039782,           0.0039782
                   7,            0.084493,            0.080521,                   0,               0.008,             0.60606,           0.0067847,           0.0016328,            0.074399,            0.061493,                   0,            0.057537,           0.0045371,           0.0045371
                   8,            0.082902,            0.082871,                   0,           0.0078667,             0.59596,           0.0076644,           0.0018128,            0.074749,            0.061081,                   0,             0.05209,           0.0050901,           0.0050901
                   9,            0.080416,            0.078349,                   0,           0.0077333,             0.58586,           0.0076342,           0.0018552,            0.073925,            0.060928,                   0,            0.046637,           0.0056372,           0.0056372
                  10,            0.080904,            0.083347,                   0,           0.0078667,             0.59596,            0.010628,           0.0023952,              0.0738,            0.060722,                   0,            0.041178,           0.0061782,           0.0061782
                  11,            0.079533,            0.083479,                   0,           0.0074667,             0.56566,           0.0070099,            0.001854,            0.073408,            0.060623,                   0,            0.035713,           0.0067134,           0.0067134
                  12,            0.077688,            0.076625,                   0,           0.0073333,             0.55556,           0.0063838,            0.001578,            0.072846,            0.060608,                   0,            0.030243,           0.0072426,           0.0072426
                  13,             0.07709,            0.078876,                   0,              0.0072,             0.54545,            0.013967,             0.00315,            0.072084,            0.061089,                   0,            0.024766,           0.0077659,           0.0077659
                  14,            0.077814,            0.077675,                   0,           0.0069333,             0.52525,            0.014896,            0.003089,            0.071316,            0.063446,                   0,            0.019283,           0.0082832,           0.0082832
                  15,            0.078089,                0.08,                   0,           0.0070667,             0.53535,            0.017018,            0.003531,            0.071372,            0.063683,                   0,            0.013795,           0.0087946,           0.0087946
                  16,            0.075109,            0.079185,                   0,           0.0069333,             0.52525,            0.012614,           0.0022443,            0.070427,            0.063904,                   0,            0.009208,            0.009208,            0.009208
                  17,            0.075058,            0.078584,                   0,           0.0082667,             0.62626,            0.012537,           0.0026463,            0.069436,            0.064453,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.073035,            0.073676,                   0,            0.010267,             0.77778,            0.012856,           0.0033618,            0.068253,            0.065231,                   0,           0.0091585,           0.0091585,           0.0091585
                  19,            0.074654,            0.071222,                   0,           0.0094667,             0.71717,            0.022836,           0.0048418,            0.066479,            0.063156,                   0,            0.009109,            0.009109,            0.009109
                  20,            0.074607,            0.069359,                   0,            0.028644,             0.67677,             0.11402,            0.034838,            0.064807,            0.060555,                   0,           0.0090595,           0.0090595,           0.0090595
                  21,            0.073444,            0.063177,                   0,            0.011333,             0.85859,            0.076733,             0.01882,             0.06512,            0.061157,                   0,             0.00901,             0.00901,             0.00901
                  22,            0.070351,            0.059768,                   0,             0.26358,             0.24242,             0.25392,            0.060988,            0.064892,            0.054573,                   0,           0.0089605,           0.0089605,           0.0089605
                  23,            0.068987,            0.058421,                   0,             0.18053,             0.38384,             0.13755,            0.035575,            0.064067,            0.052704,                   0,            0.008911,            0.008911,            0.008911
                  24,            0.068233,            0.053609,                   0,             0.48581,             0.34357,             0.36122,             0.10457,            0.062231,            0.049042,                   0,           0.0088615,           0.0088615,           0.0088615
                  25,            0.065687,            0.051426,                   0,             0.35685,             0.29293,             0.27888,            0.063185,            0.064643,            0.050674,                   0,            0.008812,            0.008812,            0.008812
                  26,            0.062827,            0.050174,                   0,             0.33381,             0.27273,             0.24143,            0.067385,            0.066351,             0.05349,                   0,           0.0087625,           0.0087625,           0.0087625
                  27,            0.063168,            0.046933,                   0,             0.48532,             0.38102,             0.31513,             0.10151,            0.060786,            0.064804,                   0,            0.008713,            0.008713,            0.008713
                  28,            0.063185,            0.044723,                   0,             0.50919,             0.32323,             0.30967,            0.060964,            0.064037,            0.064072,                   0,           0.0086635,           0.0086635,           0.0086635
                  29,             0.05963,            0.047816,                   0,             0.50128,             0.61934,             0.52089,             0.18069,             0.05363,            0.042503,                   0,            0.008614,            0.008614,            0.008614
                  30,            0.057891,            0.045646,                   0,             0.40436,             0.45455,             0.26945,            0.047303,             0.06749,            0.056854,                   0,           0.0085645,           0.0085645,           0.0085645
                  31,            0.057358,            0.044006,                   0,             0.50351,             0.55556,             0.46599,             0.14884,            0.054297,             0.05957,                   0,            0.008515,            0.008515,            0.008515
                  32,             0.05649,            0.043527,                   0,             0.75874,             0.76242,             0.71275,             0.19649,            0.057345,            0.032928,                   0,           0.0084655,           0.0084655,           0.0084655
                  33,            0.054181,            0.040898,                   0,             0.79147,             0.88178,             0.83489,             0.33872,            0.045224,            0.035271,                   0,            0.008416,            0.008416,            0.008416
                  34,            0.054046,            0.043916,                   0,             0.78174,             0.91919,             0.86766,             0.40872,            0.044217,            0.031006,                   0,           0.0083665,           0.0083665,           0.0083665
                  35,            0.050689,            0.042918,                   0,             0.71349,             0.69697,             0.72081,             0.19143,            0.055372,            0.036552,                   0,            0.008317,            0.008317,            0.008317
                  36,            0.052233,            0.039823,                   0,             0.68494,             0.55556,             0.61472,             0.23225,            0.054986,            0.038933,                   0,           0.0082675,           0.0082675,           0.0082675
                  37,            0.050657,            0.038728,                   0,             0.77423,             0.79798,              0.7421,             0.20621,            0.052206,            0.031906,                   0,            0.008218,            0.008218,            0.008218
                  38,            0.049386,            0.039783,                   0,             0.92261,             0.72255,             0.81524,             0.32341,            0.047288,            0.038269,                   0,           0.0081685,           0.0081685,           0.0081685
                  39,            0.049005,            0.036376,                   0,             0.87841,             0.85859,             0.83725,             0.29924,            0.048777,            0.026993,                   0,            0.008119,            0.008119,            0.008119
                  40,            0.046719,            0.036111,                   0,             0.90075,             0.88889,             0.92948,              0.4999,             0.03921,            0.027203,                   0,           0.0080695,           0.0080695,           0.0080695
                  41,            0.045687,             0.03626,                   0,              0.8974,             0.88353,             0.94617,             0.44232,            0.038601,            0.027412,                   0,             0.00802,             0.00802,             0.00802
                  42,            0.047964,            0.037158,                   0,             0.83969,             0.83838,             0.79164,             0.23521,            0.054035,            0.026188,                   0,           0.0079705,           0.0079705,           0.0079705
                  43,            0.046395,            0.035079,                   0,             0.79455,              0.8985,               0.829,             0.31336,            0.044033,             0.03627,                   0,            0.007921,            0.007921,            0.007921
                  44,            0.045382,            0.034214,                   0,             0.89433,             0.86869,               0.891,             0.33455,            0.046941,            0.030037,                   0,           0.0078715,           0.0078715,           0.0078715
                  45,            0.044515,            0.034382,                   0,             0.90809,             0.81818,             0.86023,             0.37499,            0.041979,            0.030426,                   0,            0.007822,            0.007822,            0.007822
                  46,            0.043562,            0.037399,                   0,             0.94677,             0.89839,             0.95196,             0.40241,            0.040829,            0.027077,                   0,           0.0077725,           0.0077725,           0.0077725
                  47,            0.043522,            0.034946,                   0,             0.89278,             0.79798,             0.84399,             0.32606,            0.048888,            0.032387,                   0,            0.007723,            0.007723,            0.007723
                  48,             0.04478,            0.032744,                   0,             0.96553,             0.84886,             0.91062,             0.50094,            0.037192,            0.027809,                   0,           0.0076735,           0.0076735,           0.0076735
                  49,            0.044146,            0.031834,                   0,             0.96227,             0.89899,             0.92658,             0.30399,            0.047815,            0.026443,                   0,            0.007624,            0.007624,            0.007624
                  50,            0.041135,            0.032168,                   0,             0.86732,             0.79237,             0.84487,             0.33255,            0.049068,            0.027946,                   0,           0.0075745,           0.0075745,           0.0075745
                  51,            0.040505,            0.031516,                   0,             0.90306,             0.69697,             0.75579,             0.25496,            0.053349,            0.037575,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.044163,            0.033483,                   0,             0.96761,             0.86869,             0.92193,             0.51836,            0.036209,             0.03006,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.041407,            0.033547,                   0,             0.93988,             0.94741,             0.95971,              0.4146,            0.040265,            0.024712,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.040948,            0.032415,                   0,             0.99312,              0.9697,             0.98538,               0.563,            0.032953,            0.022514,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.041164,            0.033222,                   0,             0.95688,             0.94949,             0.95579,             0.36515,            0.043771,            0.023907,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.039826,            0.030002,                   0,             0.98968,              0.9689,             0.97459,             0.54183,            0.032955,            0.023312,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.040188,            0.031655,                   0,             0.95645,             0.88744,              0.9318,             0.44525,            0.040811,              0.0275,                   0,            0.007228,            0.007228,            0.007228
                  58,            0.037895,            0.030013,                   0,             0.91991,              0.9596,             0.94966,             0.34919,            0.042593,            0.023037,                   0,           0.0071785,           0.0071785,           0.0071785
                  59,            0.041214,             0.03412,                   0,             0.97592,              0.9798,             0.98113,             0.51078,            0.033489,            0.024338,                   0,            0.007129,            0.007129,            0.007129
                  60,            0.038915,            0.032385,                   0,              0.9445,             0.90909,             0.94808,             0.40053,            0.040283,            0.023003,                   0,           0.0070795,           0.0070795,           0.0070795
                  61,            0.038236,            0.029615,                   0,             0.98563,              0.9697,             0.98343,             0.58304,            0.030617,            0.022633,                   0,             0.00703,             0.00703,             0.00703
                  62,            0.037193,            0.030172,                   0,             0.92095,             0.94949,             0.96362,             0.44457,              0.0376,            0.022606,                   0,           0.0069805,           0.0069805,           0.0069805
                  63,            0.037717,            0.030731,                   0,             0.92146,              0.9481,             0.95985,             0.47602,            0.037749,            0.021706,                   0,            0.006931,            0.006931,            0.006931
                  64,            0.037623,            0.031307,                   0,             0.96801,              0.9697,             0.98103,             0.59626,            0.030068,            0.020618,                   0,           0.0068815,           0.0068815,           0.0068815
                  65,             0.03582,            0.028311,                   0,             0.91219,             0.83947,             0.87514,             0.41799,            0.043274,            0.032188,                   0,            0.006832,            0.006832,            0.006832
                  66,            0.036914,            0.029242,                   0,             0.97736,              0.9697,             0.98015,             0.59764,            0.030962,            0.021114,                   0,           0.0067825,           0.0067825,           0.0067825
                  67,             0.03909,            0.030187,                   0,             0.96687,             0.94949,             0.96744,             0.39473,            0.040773,            0.021935,                   0,            0.006733,            0.006733,            0.006733
                  68,            0.039533,            0.032193,                   0,             0.97826,              0.9697,             0.97358,             0.57177,            0.029782,            0.021168,                   0,           0.0066835,           0.0066835,           0.0066835
                  69,            0.035885,            0.029701,                   0,             0.93802,             0.93939,              0.9451,             0.39308,            0.041797,            0.022034,                   0,            0.006634,            0.006634,            0.006634
                  70,            0.035329,            0.027359,                   0,             0.96726,             0.94949,             0.97097,             0.53839,             0.03224,            0.021004,                   0,           0.0065845,           0.0065845,           0.0065845
                  71,            0.036769,            0.030401,                   0,             0.97807,              0.9596,             0.96839,             0.49261,            0.034503,            0.021694,                   0,            0.006535,            0.006535,            0.006535
                  72,              0.0381,            0.029764,                   0,             0.97847,              0.9596,             0.97273,             0.53838,            0.031759,            0.021587,                   0,           0.0064855,           0.0064855,           0.0064855
                  73,            0.035567,            0.029247,                   0,             0.96764,             0.94949,             0.97123,             0.41034,             0.04066,            0.022305,                   0,            0.006436,            0.006436,            0.006436
                  74,            0.037007,            0.031218,                   0,             0.98852,              0.9697,             0.97573,             0.57975,            0.029066,            0.022518,                   0,           0.0063865,           0.0063865,           0.0063865
                  75,            0.036534,            0.029685,                   0,             0.96682,             0.94949,             0.97082,             0.41419,            0.038707,            0.022114,                   0,            0.006337,            0.006337,            0.006337
                  76,            0.035456,            0.030656,                   0,             0.95789,             0.93939,             0.96217,             0.45312,            0.038112,            0.022419,                   0,           0.0062875,           0.0062875,           0.0062875
                  77,            0.033211,            0.028657,                   0,             0.98799,              0.9697,             0.99282,             0.50265,            0.034709,            0.021641,                   0,            0.006238,            0.006238,            0.006238
                  78,            0.034016,            0.029417,                   0,             0.99861,              0.9798,             0.98595,              0.5474,            0.031239,            0.020931,                   0,           0.0061885,           0.0061885,           0.0061885
                  79,             0.03555,            0.027639,                   0,             0.98781,              0.9697,             0.97585,             0.42633,            0.037791,            0.021694,                   0,            0.006139,            0.006139,            0.006139
                  80,            0.034738,            0.027541,                   0,             0.96966,              0.9684,             0.97941,             0.54194,            0.033495,            0.020832,                   0,           0.0060895,           0.0060895,           0.0060895
                  81,            0.033737,            0.029202,                   0,             0.98811,              0.9697,             0.98367,             0.45808,            0.038862,            0.022316,                   0,             0.00604,             0.00604,             0.00604
                  82,            0.035275,            0.030269,                   0,             0.98838,              0.9697,             0.98851,             0.62938,            0.028434,            0.019779,                   0,           0.0059905,           0.0059905,           0.0059905
                  83,            0.034096,            0.029951,                   0,             0.96936,             0.95859,             0.97952,             0.45561,            0.037954,            0.020748,                   0,            0.005941,            0.005941,            0.005941
                  84,            0.033929,            0.028899,                   0,             0.98799,              0.9697,              0.9875,             0.59128,            0.030094,            0.019829,                   0,           0.0058915,           0.0058915,           0.0058915
                  85,            0.032908,            0.027065,                   0,             0.97849,              0.9596,             0.98025,             0.43122,            0.039594,            0.020798,                   0,            0.005842,            0.005842,            0.005842
                  86,            0.035926,            0.030249,                   0,             0.99871,              0.9798,             0.98649,             0.57774,            0.029451,            0.019787,                   0,           0.0057925,           0.0057925,           0.0057925
                  87,            0.035066,            0.029349,                   0,             0.97818,              0.9596,             0.98176,             0.52778,            0.033678,             0.02055,                   0,            0.005743,            0.005743,            0.005743
                  88,            0.034462,            0.028273,                   0,                   1,             0.97681,             0.98493,             0.60777,            0.030298,            0.021065,                   0,           0.0056935,           0.0056935,           0.0056935
                  89,            0.032582,            0.029239,                   0,             0.98878,              0.9798,              0.9852,             0.51238,            0.034124,            0.020824,                   0,            0.005644,            0.005644,            0.005644
                  90,            0.032296,            0.026077,                   0,             0.97546,              0.9697,              0.9658,             0.52993,            0.034442,            0.021816,                   0,           0.0055945,           0.0055945,           0.0055945
                  91,            0.032936,            0.027352,                   0,                   1,             0.96747,             0.97382,             0.50708,            0.034273,            0.021114,                   0,            0.005545,            0.005545,            0.005545
                  92,            0.031612,            0.027812,                   0,               0.969,              0.9596,             0.98862,             0.48608,            0.035715,            0.021122,                   0,           0.0054955,           0.0054955,           0.0054955
                  93,            0.030564,            0.026763,                   0,             0.97935,              0.9581,             0.96621,             0.50084,            0.035443,            0.021816,                   0,            0.005446,            0.005446,            0.005446
                  94,            0.030395,            0.025982,                   0,             0.97958,               0.969,             0.98518,             0.49302,            0.035683,            0.020298,                   0,           0.0053965,           0.0053965,           0.0053965
                  95,            0.032529,            0.027975,                   0,             0.95876,             0.94949,             0.96633,             0.50729,            0.035119,            0.020649,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.031447,            0.027745,                   0,             0.95746,             0.93939,             0.95256,             0.48325,            0.037112,            0.021503,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.033451,            0.028947,                   0,             0.98984,              0.9899,             0.98479,              0.4979,            0.034832,            0.020378,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.031392,            0.028006,                   0,             0.96749,             0.93939,             0.96223,             0.46826,            0.037029,            0.021858,                   0,           0.0051985,           0.0051985,           0.0051985
